# policy-loadgen percentile distribution, latency in nanoseconds
# 2026-08-31T01:25:38Z  tag=omission-closed  offered_qps=150000  threads=2  mode=closed-loop
Value,Percentile,TotalCount,1/(1-Percentile)
11855,0.000000611429,1,1.00
15727,0.101037961155,165249,1.11
16271,0.200913596582,328597,1.25
16751,0.302134986310,494146,1.43
17215,0.404006324617,660758,1.68
17631,0.500846828581,819142,2.00
17855,0.555239514917,908102,2.25
18063,0.603048949749,986295,2.52
18303,0.652715904602,1067526,2.88
18527,0.700486819434,1145656,3.34
18815,0.752505940029,1230734,4.04
18991,0.777208266025,1271135,4.49
19167,0.800171689145,1308692,5.00
19423,0.826096260870,1351092,5.75
19711,0.850982626868,1391794,6.71
20063,0.876045084298,1432784,8.07
20271,0.888139141579,1452564,8.94
20527,0.900002078857,1471966,10.00
20895,0.913161856150,1493489,11.52
21407,0.925308496289,1513355,13.39
22031,0.937765130717,1533728,16.07
22351,0.943957679360,1543856,17.84
22735,0.950351388004,1554313,20.14
23183,0.956303033786,1564047,22.88
23727,0.962595856715,1574339,26.74
24511,0.968793908215,1584476,32.05
24991,0.971905468250,1589565,35.59
25615,0.975167439716,1594900,40.27
26271,0.978157936893,1599791,45.78
27135,0.981264605500,1604872,53.37
28143,0.984416519822,1610027,64.17
28783,0.985987279840,1612596,71.36
29487,0.987549479858,1615151,80.32
30319,0.989078662732,1617652,91.56
31359,0.990637194179,1620201,106.81
32655,0.992200617054,1622758,128.22
33503,0.992974685634,1624024,142.34
34559,0.993762205643,1625312,160.31
35839,0.994538108509,1626581,183.09
37439,0.995320737089,1627861,213.71
39359,0.996095417098,1629128,256.11
40575,0.996494068531,1629780,285.23
41919,0.996884771393,1630419,321.00
43487,0.997269359969,1631048,366.21
45215,0.997658228545,1631684,427.03
47231,0.998050154263,1632325,512.86
48447,0.998243365694,1632641,569.27
49695,0.998437799982,1632959,640.12
51103,0.998638959984,1633288,734.73
52671,0.998828502844,1633598,853.61
54495,0.999025994275,1633921,1026.69
55583,0.999121377133,1634077,1138.14
56831,0.999219817134,1634238,1281.75
58431,0.999317034278,1634397,1464.20
60287,0.999416697136,1634560,1714.38
62463,0.999512691423,1634717,2052.09
63999,0.999561605709,1634797,2281.05
65727,0.999611131424,1634878,2571.56
67199,0.999658822853,1634956,2931.03
69183,0.999707737140,1635036,3421.58
71423,0.999757262854,1635117,4119.68
73215,0.999780497140,1635155,4555.75
75135,0.999805565712,1635196,5143.13
76799,0.999830634284,1635237,5904.38
78655,0.999854479998,1635276,6871.91
80959,0.999878937141,1635316,8260.17
82943,0.999891777142,1635337,9240.19
84223,0.999902782856,1635355,10286.25
86527,0.999915011428,1635375,11766.29
88191,0.999927239999,1635395,13743.82
90559,0.999940079999,1635416,16688.92
91775,0.999945582857,1635425,18376.56
94911,0.999951697142,1635435,20702.71
97983,0.999957811428,1635445,23703.10
102207,0.999963925714,1635455,27720.58
105023,0.999970040000,1635465,33377.84
106687,0.999973708571,1635471,38035.21
109375,0.999976154285,1635475,41936.26
109951,0.999979211428,1635480,48103.35
110655,0.999982268571,1635485,56397.03
113599,0.999985325714,1635490,68146.42
115199,0.999986548571,1635492,74341.55
118335,0.999988994286,1635496,90861.89
120191,0.999989605714,1635497,96206.71
130431,0.999991440000,1635500,116822.43
136319,0.999992662857,1635502,136292.83
137599,0.999993274286,1635503,148683.09
152575,0.999994497143,1635505,181723.78
164223,0.999995108571,1635506,204439.25
182783,0.999995720000,1635507,233644.86
184959,0.999996331429,1635508,272585.67
191999,0.999996942857,1635509,327102.80
196607,0.999997554286,1635510,408878.50
201983,0.999998165714,1635511,545171.33
203647,0.999998777143,1635512,817757.00
249983,0.999999388571,1635513,1635514.00
255487,1.000000000000,1635514,0.00
