# policy-loadgen percentile distribution, latency in nanoseconds
# 2026-08-31T01:25:19Z  tag=omission-open  offered_qps=150000  threads=2  mode=open-loop
Value,Percentile,TotalCount,1/(1-Percentile)
9639,0.000000445021,1,1.00
16559,0.100379469739,225561,1.11
17183,0.200938728120,451526,1.25
18047,0.300015175229,674159,1.43
19039,0.400465848391,899880,1.67
20207,0.500592545981,1124873,2.00
21103,0.550477663709,1236969,2.22
22047,0.600484272277,1349338,2.50
23007,0.650356039363,1461404,2.86
23983,0.700586493690,1574276,3.34
25359,0.750119154477,1685580,4.00
26399,0.775225481213,1741996,4.45
30719,0.800087936227,1797864,5.00
39903,0.825016254406,1853880,5.71
59391,0.850021561286,1910069,6.67
120895,0.875003282033,1966205,8.00
258431,0.887507938069,1994304,8.89
524799,0.900016154276,2022411,10.00
1131519,0.912500339329,2050464,11.43
2514943,0.925005440386,2078564,13.33
5128191,0.937514546637,2106673,16.00
7184383,0.943750186353,2120685,17.78
15441919,0.950000066753,2134729,20.00
44236799,0.956250837196,2148775,22.86
68288511,0.962506947896,2162833,26.67
86245375,0.968759943447,2176884,32.01
97452031,0.971911584930,2183966,35.60
105775103,0.975004483591,2190916,40.01
116850687,0.978149004732,2197982,45.76
126615551,0.981265934547,2204986,53.38
138018815,0.984405115432,2212040,64.12
142475263,0.985939994206,2215489,71.12
147718143,0.987532280739,2219067,80.21
153092095,0.989096530925,2222582,91.71
155582463,0.990744445132,2226285,108.04
157417471,0.992391914317,2229987,131.44
158597119,0.992988688001,2231328,142.63
158990335,0.994015797369,2233636,167.11
159514623,0.994915630620,2235658,196.68
159776767,0.995320600085,2236568,213.70
161742847,0.996196847201,2238537,262.94
162398207,0.996761579345,2239806,308.79
162529279,0.997032597372,2240415,337.00
162660351,0.997468273313,2241394,394.99
162791423,0.997749971852,2242027,444.44
163053567,0.998334284937,2243340,600.34
163184639,0.998652920253,2244056,742.35
163315711,0.998757055258,2244290,804.54
163446783,0.998783756541,2244350,822.20
163708927,0.998862080306,2244526,878.80
164102143,0.999044984097,2244937,1047.10
164495359,0.999137993568,2245146,1160.08
164626431,0.999224772739,2245341,1289.94
164757503,0.999348488685,2245619,1534.89
164888575,0.999426812450,2245795,1744.63
165019647,0.999530502434,2246028,2129.94
165150719,0.999660003658,2246319,2941.21
165281791,0.999800630417,2246635,5015.81
165412863,0.999942592241,2246954,17419.25
165543935,1.000000000000,2247083,0.00
