# policy-loadgen percentile distribution, latency in nanoseconds
# 2026-08-31T02:08:39Z  tag=protocol-http  offered_qps=100000  threads=2  mode=open-loop  protocol=http
Value,Percentile,TotalCount,1/(1-Percentile)
17823,0.000000666666,1,1.00
32127,0.100315933123,150474,1.11
36255,0.200301199799,300452,1.25
39391,0.301073132618,451610,1.43
41919,0.400541732972,600813,1.67
45183,0.500410999726,750617,2.00
46815,0.550196966535,825296,2.22
48383,0.600835599443,901254,2.51
49951,0.650304233131,975457,2.86
51679,0.700093533271,1050141,3.33
53599,0.750435499710,1125654,4.01
54687,0.775502149665,1163254,4.45
55871,0.800499466334,1200750,5.01
57151,0.825204116531,1237807,5.72
58559,0.850082099945,1275124,6.67
60191,0.875128749914,1312694,8.01
61151,0.887581408279,1331373,8.90
62367,0.900168066555,1350253,10.02
64543,0.912682058212,1369024,11.45
66687,0.925108049928,1387663,13.35
69439,0.937558708294,1406339,16.02
71231,0.943807370795,1415712,17.80
73343,0.950074033284,1425112,20.03
75711,0.956374029084,1434562,22.92
78335,0.962563358291,1443846,26.71
81279,0.968781354146,1453173,32.03
83199,0.971930018713,1457896,35.63
85759,0.975018683321,1462529,40.03
87871,0.978183347878,1467276,45.84
90111,0.981310012460,1471966,53.50
92927,0.984431343712,1476648,64.23
94591,0.985946009369,1478920,71.15
96703,0.987536008309,1481305,80.23
99327,0.989084007277,1483627,91.61
103231,0.990630672913,1485947,106.73
110335,0.992190005207,1488286,128.04
116607,0.992969338020,1489455,142.23
127487,0.993752004165,1490629,160.05
152447,0.994532670312,1491800,182.90
210175,0.995314003124,1492972,213.40
276991,0.996094002604,1494142,256.02
308479,0.996485335676,1494729,284.52
338687,0.996876002083,1495315,320.10
369151,0.997269335154,1495905,366.21
401151,0.997659334894,1496490,427.23
435967,0.998048001301,1497073,512.30
453119,0.998243334504,1497366,569.26
472319,0.998442001039,1497664,641.85
490239,0.998634667577,1497953,732.42
511231,0.998828667448,1498244,853.73
533503,0.999025333983,1498539,1025.99
545791,0.999124000584,1498687,1141.55
559103,0.999221333852,1498833,1284.25
573439,0.999316667122,1498976,1463.42
590335,0.999414667057,1499123,1708.43
607743,0.999512666992,1499270,2051.98
616447,0.999561333626,1499343,2279.64
627711,0.999611333592,1499418,2572.90
639487,0.999659333560,1499490,2935.42
654335,0.999707333528,1499562,3416.86
670207,0.999756666829,1499636,4109.59
678399,0.999782666812,1499675,4601.23
687103,0.999805333463,1499709,5136.99
697343,0.999831333446,1499748,5928.86
710655,0.999854000097,1499782,6849.32
722431,0.999878666748,1499819,8241.76
730111,0.999891333406,1499838,9202.46
737791,0.999902666732,1499855,10273.98
747007,0.999915333390,1499874,11811.03
757247,0.999927333382,1499892,13761.48
769535,0.999939333374,1499910,16483.53
776703,0.999945333370,1499919,18292.70
785407,0.999952000032,1499929,20833.35
791039,0.999957333362,1499937,23437.52
799231,0.999964000024,1499947,27777.80
812031,0.999970666686,1499957,34090.93
814591,0.999974000017,1499962,38461.56
818687,0.999976666682,1499966,42857.17
825855,0.999978666681,1499969,46875.03
832511,0.999982000012,1499974,55555.59
840191,0.999985333343,1499979,68181.86
843775,0.999986666676,1499981,75000.05
846847,0.999988666674,1499984,88235.35
847871,0.999989333340,1499985,93750.06
860671,0.999991333339,1499988,115384.69
864767,0.999992666672,1499990,136363.73
866303,0.999993333338,1499991,150000.10
867327,0.999994000004,1499992,166666.78
869375,0.999994666670,1499993,187500.12
886271,0.999996000003,1499995,250000.17
895999,0.999996666669,1499996,300000.20
901119,0.999997333335,1499997,375000.25
904191,0.999998000001,1499998,500000.33
909311,0.999998666668,1499999,750000.50
919551,0.999999333334,1500000,1500001.00
936447,1.000000000000,1500001,0.00
