# policy-loadgen percentile distribution, latency in nanoseconds
# 2026-08-31T02:08:21Z  tag=protocol-udp  offered_qps=100000  threads=2  mode=open-loop  protocol=udp
Value,Percentile,TotalCount,1/(1-Percentile)
10511,0.000000666667,1,1.00
16263,0.100758000000,151137,1.11
17183,0.200308000000,300462,1.25
17727,0.300516666667,450775,1.43
18303,0.400029333333,600044,1.67
19135,0.502826666667,754240,2.01
19295,0.551092666667,826639,2.23
19439,0.605691333333,908537,2.54
19567,0.651046000000,976569,2.87
19759,0.703361333333,1055042,3.37
20015,0.750397333333,1125596,4.01
20175,0.777195333333,1165793,4.49
20319,0.802683333333,1204025,5.07
20447,0.825753333333,1238630,5.74
20591,0.851016000000,1276524,6.71
20783,0.875458000000,1313187,8.03
21007,0.887863333333,1331795,8.92
23791,0.900481333333,1350722,10.05
24031,0.913246000000,1369869,11.53
24239,0.925172000000,1387758,13.36
24607,0.937770000000,1406655,16.07
25055,0.943845333333,1415768,17.81
27855,0.950020666667,1425031,20.01
31647,0.956266666667,1434400,22.87
39135,0.962502000000,1443753,26.67
57183,0.968752000000,1453128,32.00
73087,0.971880000000,1457820,35.56
97215,0.975009333333,1462514,40.01
130815,0.978132666667,1467199,45.73
173055,0.981259333333,1471889,53.36
229247,0.984378000000,1476567,64.01
269823,0.985942000000,1478913,71.13
316927,0.987502000000,1481253,80.01
375039,0.989070666667,1483606,91.50
449535,0.990626000000,1485939,106.68
548351,0.992192666667,1488289,128.08
611327,0.992974666667,1489462,142.34
684031,0.993750000000,1490625,160.00
776191,0.994532666667,1491799,182.90
880639,0.995314000000,1492971,213.40
1017855,0.996096000000,1494144,256.15
1079295,0.996492666667,1494739,285.12
1118207,0.996878000000,1495317,320.31
1189887,0.997270000000,1495905,366.30
1245183,0.997660000000,1496490,427.35
1312767,0.998047333333,1497071,512.12
1343487,0.998242666667,1497364,569.04
1395711,0.998438666667,1497658,640.48
1448959,0.998635333333,1497953,732.78
1506303,0.998831333333,1498247,855.68
1590271,0.999025333333,1498538,1025.99
1629183,0.999124000000,1498686,1141.55
1672191,0.999222000000,1498833,1285.35
1726463,0.999316666667,1498975,1463.41
1766399,0.999414666667,1499122,1708.43
1811455,0.999512000000,1499268,2049.18
1850367,0.999561333333,1499342,2279.64
1897471,0.999610000000,1499415,2564.10
1939455,0.999658666667,1499488,2929.69
1980415,0.999707333333,1499561,3416.86
2044927,0.999756000000,1499634,4098.36
2071551,0.999780666667,1499671,4559.27
2121727,0.999805333333,1499708,5136.99
2158591,0.999829333333,1499744,5859.38
2187263,0.999856000000,1499784,6944.44
2211839,0.999878666667,1499818,8241.76
2226175,0.999892666667,1499839,9316.77
2238463,0.999902666667,1499854,10273.97
2256895,0.999919333333,1499879,12396.69
2267135,0.999928666667,1499893,14018.69
2285567,0.999941333333,1499912,17045.45
2291711,0.999946000000,1499919,18518.52
2301951,0.999952000000,1499928,20833.33
2310143,0.999959333333,1499939,24590.16
2324479,0.999964000000,1499946,27777.78
2326527,0.999970666667,1499956,34090.91
2328575,0.999976666667,1499965,42857.14
2330623,0.999982000000,1499973,55555.56
2332671,0.999984000000,1499976,62500.00
2334719,0.999984666667,1499977,65217.39
2336767,0.999985333333,1499978,68181.82
2351103,0.999987333333,1499981,78947.37
2355199,0.999988000000,1499982,83333.33
2359295,0.999989333333,1499984,93750.00
2361343,0.999991333333,1499987,115384.62
2363391,0.999992666667,1499989,136363.64
2365439,0.999994000000,1499991,166666.67
2369535,0.999994666667,1499992,187500.00
2371583,0.999996666667,1499995,300000.00
2375679,0.999997333333,1499996,375000.00
2379775,0.999998000000,1499997,500000.00
2381823,0.999998666667,1499998,750000.00
2383871,0.999999333333,1499999,1500000.00
2392063,1.000000000000,1500000,0.00
