tag,requests,replies_sent,short_datagrams,bad_magic,send_failures,mean_batch,service_p50_ns,service_p99_ns,service_p999_ns,service_max_ns,policy_version
sweep-10000,180000,180000,0,0,0,1.63,166,375,1666,12309,1
sweep-25000,630000,630000,0,0,0,1.15,167,500,1333,23433,1
sweep-50000,1530000,1530000,0,0,0,1.06,125,458,1083,40351,1
sweep-100000,3330000,3330000,0,0,0,1.07,125,375,1166,94344,1
sweep-150000,6025928,6025928,0,0,0,1.16,125,333,1125,283992,1
sweep-200000,9620414,9620414,0,0,0,1.75,125,292,792,283992,1
sweep-300000,12910571,12910571,0,0,0,2.3,125,292,667,292384,1
sweep-400000,16228358,16228358,0,0,0,2.84,125,291,542,292384,1
sweep-500000,19535021,19535021,0,0,0,3.36,84,250,500,292384,1
scale-1w,1800000,1800000,0,0,0,1.02,84,250,375,22726,1
scale-2w,1800000,1655519,0,0,144481,1.02,125,291,6959,31476,1
scale-4w,1800000,1168903,0,0,631097,1.63,125,333,7167,159440,1
batch-1,1800000,1800000,0,0,0,1,102,250,375,36827,1
batch-8,1800000,1800000,0,0,0,1.03,84,250,500,48536,1
batch-32,1800000,1800000,0,0,0,1.03,83,250,458,27685,1
batch-128,1800000,1800000,0,0,0,1.02,83,291,500,33059,1
poll-0,360000,360000,0,0,0,1.05,167,875,1977,478221,1
poll-10,360000,360000,0,0,0,1.01,166,500,1708,13125,1
poll-50,360000,360000,0,0,0,1.0,166,500,1583,31225,1
poll-200,360000,360000,0,0,0,1.0,125,292,500,12000,1
reload-steady,1800000,1800000,0,0,0,1.05,83,292,583,1550938,5
omission-open,2700068,2700068,0,0,0,1.07,83,250,459,46785,1
omission-closed,4731964,4731964,0,0,0,1.04,83,250,459,46785,1
backend-udp,1800000,1800000,0,0,0,1.03,83,250,500,45327,1
protocol-udp,1800000,1800000,0,0,0,1.03,83,291,500,48202,1
protocol-http,1800000,1800000,0,0,0,1.03,83,291,500,48202,1
repeat-1,1800000,1800000,0,0,0,1.03,83,292,500,38392,1
repeat-2,3600000,3600000,0,0,0,1.03,83,292,500,66618,1
repeat-3,5400000,5400000,0,0,0,1.03,83,292,500,66618,1
repeat-4,7200000,7200000,0,0,0,1.04,83,292,500,78553,1
repeat-5,9000000,9000000,0,0,0,1.04,83,292,500,78553,1
