timestamp,tag,mode,protocol,offered_qps,achieved_qps,threads,sent,received,lost,loss_pct,p50_us,p90_us,p99_us,p999_us,p9999_us,max_us,mean_us,send_late_p99_us,schedule_slips,allow,deny,redirect,host,build
2026-08-31T01:58:39Z,sweep-10000,open-loop,udp,10000,10000,2,180000,180000,0,0,31.295,45.471,53.503,87.935,118.783,266.93,33.7452,2.157,0,132463,40850,6687,Darwin/arm64,Release AppleClang
2026-08-31T01:59:03Z,sweep-25000,open-loop,udp,25000,25000,2,450000,450000,0,0,21.455,24.783,45.119,90.431,1859.58,3157.88,22.5012,1.635,87,331539,101760,16701,Darwin/arm64,Release AppleClang
2026-08-31T01:59:27Z,sweep-50000,open-loop,udp,50000,50000,2,900000,900000,0,0,18.687,21.007,49.055,352.255,6733.82,8068.76,22.6,6.723,375,663600,202836,33564,Darwin/arm64,Release AppleClang
2026-08-31T01:59:51Z,sweep-100000,open-loop,udp,100000,99999.9,2,1800000,1800000,0,0,17.295,28.847,625.151,9453.57,13393.9,14295.5,59.1911,10.447,5535,1326728,405936,67336,Darwin/arm64,Release AppleClang
2026-08-31T02:00:15Z,sweep-150000,open-loop,udp,150000,150004,2,2700068,2695928,4140,0.153329,17.823,195.839,25739.3,38699,39518.2,39700.5,926.846,18.911,46277,1987660,607371,100897,Darwin/arm64,Release AppleClang
2026-08-31T02:00:40Z,sweep-200000,open-loop,udp,200000,199602,2,3600000,3594486,5514,0.153167,66289.7,97583.1,114491,128647,130875,131275,62898.6,22.255,67398,2651017,809471,133998,Darwin/arm64,Release AppleClang
2026-08-31T02:01:04Z,sweep-300000,open-loop,udp,300000,181310,2,5399731,3289244,2110487,39.085,118424,129368,151519,182059,183894,184397,120754,31.087,172014,2425538,740858,122848,Darwin/arm64,Release AppleClang
2026-08-31T02:01:28Z,sweep-400000,open-loop,udp,400000,147887,2,7200000,2692926,4507074,62.5983,146670,152306,201982,233439,237240,237700,148169,111.871,239511,1985761,606810,100355,Darwin/arm64,Release AppleClang
2026-08-31T02:01:52Z,sweep-500000,open-loop,udp,500000,127619,2,9000000,2319443,6680557,74.2284,146014,150864,179831,220070,225837,227981,146998,1117.18,457506,1710794,521943,86706,Darwin/arm64,Release AppleClang
2026-08-31T02:02:17Z,scale-1w,open-loop,udp,100000,100000,2,1800000,1800000,0,0,17.535,19.535,432.127,1725.44,2064.38,2130.53,29.1725,2.187,764,1326728,405936,67336,Darwin/arm64,Release AppleClang
