# policy-loadgen percentile distribution, latency in nanoseconds
# 2026-08-31T01:59:03Z  tag=sweep-25000  offered_qps=25000  threads=2  mode=open-loop  protocol=udp
Value,Percentile,TotalCount,1/(1-Percentile)
13895,0.000002666667,1,1.00
18511,0.101685333333,38132,1.11
18943,0.200109333333,75041,1.25
19551,0.300528000000,112698,1.43
20415,0.400136000000,150051,1.67
21455,0.500896000000,187836,2.00
21871,0.550472000000,206427,2.22
22239,0.600997333333,225374,2.51
22591,0.651082666667,244156,2.87
22943,0.700346666667,262630,3.34
23311,0.750016000000,281256,4.00
23487,0.775384000000,290769,4.45
23647,0.800840000000,300315,5.02
23807,0.826813333333,310055,5.77
23999,0.851480000000,319305,6.73
24271,0.875005333333,328127,8.00
24479,0.887586666667,332845,8.90
24783,0.900016000000,337506,10.00
25295,0.912848000000,342318,11.47
25887,0.925200000000,346950,13.37
26623,0.937688000000,351633,16.05
27135,0.943922666667,353971,17.83
27743,0.950133333333,356300,20.05
28383,0.956256000000,358596,22.86
29103,0.962565333333,360962,26.71
30031,0.968834666667,363313,32.09
30735,0.971909333333,364466,35.60
31759,0.975000000000,365625,40.00
33183,0.978133333333,366800,45.73
35487,0.981272000000,367977,53.40
39039,0.984381333333,369143,64.03
40735,0.985960000000,369735,71.23
42431,0.987514666667,370318,80.09
43999,0.989066666667,370900,91.46
45887,0.990642666667,371491,106.87
48703,0.992189333333,372071,128.03
51327,0.992973333333,372365,142.31
55967,0.993752000000,372657,160.05
64383,0.994538666667,372952,183.11
70463,0.995333333333,373250,214.29
72447,0.996096000000,373536,256.15
73407,0.996496000000,373686,285.39
74239,0.996909333333,373841,323.55
74879,0.997309333333,373991,371.66
75583,0.997669333333,374126,429.06
77311,0.998048000000,374268,512.30
78335,0.998250666667,374344,571.65
79935,0.998442666667,374416,642.12
82175,0.998634666667,374488,732.42
88575,0.998832000000,374562,856.16
90751,0.999040000000,374640,1041.67
91775,0.999122666667,374671,1139.82
93567,0.999226666667,374710,1293.10
95807,0.999317333333,374744,1464.84
100863,0.999416000000,374781,1712.33
109119,0.999512000000,374817,2049.18
115455,0.999562666667,374836,2286.59
123711,0.999610666667,374854,2568.49
160511,0.999661333333,374873,2952.76
197631,0.999709333333,374891,3440.37
267775,0.999757333333,374909,4120.88
361215,0.999781333333,374918,4573.17
521727,0.999805333333,374927,5136.99
912895,0.999829333333,374936,5859.38
1279999,0.999856000000,374946,6944.44
1581055,0.999880000000,374955,8333.33
1732607,0.999890666667,374959,9146.34
1883135,0.999904000000,374964,10416.67
2037759,0.999914666667,374968,11718.75
2244607,0.999928000000,374973,13888.89
2426879,0.999941333333,374978,17045.45
2504703,0.999946666667,374980,18750.00
2582527,0.999952000000,374982,20833.33
2635775,0.999957333333,374984,23437.50
2770943,0.999965333333,374987,28846.15
2795519,0.999970666667,374989,34090.91
2865151,0.999973333333,374990,37500.00
2869247,0.999976000000,374991,41666.67
2936831,0.999978666667,374992,46875.00
3006463,0.999984000000,374994,62500.00
3016703,0.999986666667,374995,75000.00
3084287,0.999989333333,374996,93750.00
3086335,0.999992000000,374997,125000.00
3145727,0.999994666667,374998,187500.00
3147775,0.999997333333,374999,375000.00
3158015,1.000000000000,375000,0.00
