# policy-loadgen percentile distribution, latency in nanoseconds
# 2026-08-31T01:07:48Z  tag=sweep-300000  offered_qps=300000  threads=2  mode=open-loop
Value,Percentile,TotalCount,1/(1-Percentile)
113311743,0.000006176150,17,1.00
115212287,0.110456802556,304035,1.12
115736575,0.209918242311,577805,1.27
116195327,0.312267213656,859523,1.45
116588543,0.411259992647,1132003,1.70
116981759,0.511201355556,1407094,2.05
117178367,0.555552649132,1529172,2.25
117440511,0.603193650628,1660305,2.52
117702655,0.651559078141,1793432,2.87
118095871,0.703840911106,1937339,3.38
118554623,0.751170925303,2067616,4.02
118947839,0.776403766143,2137070,4.47
119406591,0.800176129254,2202504,5.00
119865343,0.826886886363,2276026,5.78
120586239,0.851289580036,2343195,6.72
121241599,0.877417235962,2415112,8.16
121503743,0.888559736446,2445782,8.97
121765887,0.901074795351,2480230,10.11
122224639,0.912663431817,2512128,11.45
123535359,0.925058964064,2546247,13.34
128843775,0.937754584520,2581192,16.07
130744319,0.944083321344,2598612,17.88
133496831,0.950030590106,2614982,20.01
137494527,0.956305558099,2632254,22.89
141557759,0.962980159301,2650626,27.01
143130623,0.968764305052,2666547,32.01
144965631,0.971967910180,2675365,35.67
146669567,0.975436726437,2684913,40.71
147455999,0.978176757042,2692455,45.82
151650303,0.981601976949,2701883,54.35
153092095,0.984439372736,2709693,64.26
153747455,0.986140356996,2714375,72.15
154796031,0.987528900747,2718197,80.19
156237823,0.989086743658,2722485,91.63
158859263,0.990654759050,2726801,107.01
165019647,0.992198796450,2731051,128.19
168296447,0.992995883051,2733245,142.77
172359679,0.993775531113,2735391,160.66
175898623,0.994582063590,2737611,184.57
177864703,0.995331557509,2739674,214.20
182583295,0.996097400059,2741782,256.24
184025087,0.996522464473,2742952,287.56
184549375,0.996907202262,2744011,323.33
185204735,0.997294119870,2745076,369.57
187039743,0.997665415451,2746098,428.34
188219391,0.998098472529,2747290,525.89
188481535,0.998253602875,2747717,572.61
188743679,0.998485390136,2748355,660.24
189136895,0.998673217745,2748872,753.70
190447615,0.998847603145,2749352,867.76
191234047,0.999077573892,2749985,1084.10
191365119,0.999149507870,2750183,1175.79
191496191,0.999253412504,2750469,1339.43
191627263,0.999331885935,2750685,1496.75
191758335,0.999547324565,2751278,2209.09
191889407,0.999635607174,2751521,2744.29
192020479,0.999658131955,2751583,2925.11
192151551,0.999674843889,2751629,3075.45
192282623,0.999698458578,2751694,3316.29
192413695,0.999715533816,2751741,3515.36
192806911,0.999767486133,2751884,4300.82
192937983,0.999783108158,2751927,4610.59
193200127,0.999813988906,2752012,5376.02
193331199,0.999831427446,2752060,5932.16
193593343,0.999864488012,2752151,7379.42
193855487,0.999901544909,2752253,10156.92
193986559,0.999983288066,2752478,59837.48
194117631,1.000000000000,2752524,0.00
