imsi,imei,plan,status,bytes_used,period_reset_ts,home_plmn,flags
234150100000000,352222227369265,dev-basic,ACTIVE,19804041432,1789689600,234-15,roaming|volte
262010100000000,353333330152594,dev-basic,ACTIVE,4797092144,1789776000,262-01,roaming|tethering
310260100000000,350000008820942,dev-basic,ACTIVE,15795372092,1789084800,310-260,roaming
310410100000000,351111113797237,dev-basic,ACTIVE,10865370140,1788825600,310-410,roaming
310410100000001,351111113572747,dev-basic,ACTIVE,10468617050,1788480000,310-410,roaming|volte
208010100000000,354444440706457,iot-low-power,ACTIVE,234891855,1789862400,208-01,roaming|volte
310410100000002,351111112485941,dev-basic,ACTIVE,16581953365,1790121600,310-410,tethering|volte
310260100000001,350000007906304,dev-pro,ACTIVE,41358923161,1788480000,310-260,roaming|volte
310260100000002,350000008579092,dev-basic,ACTIVE,7212194967,1787875200,310-260,roaming
310410100000003,351111117335927,dev-pro,ACTIVE,46969542402,1788134400,310-410,roaming|tethering|volte
310260100000003,350000002765002,dev-basic,ACTIVE,15371600178,1788825600,310-260,roaming|volte
234150100000001,352222225717911,iot-low-power,ACTIVE,621323572,1788825600,234-15,roaming|tethering
310260100000004,350000005944232,iot-low-power,ACTIVE,169352829,1788393600,310-260,volte
310260100000005,350000008636157,iot-low-power,ACTIVE,317554446,1788480000,310-260,roaming
310260100000006,350000000348421,mvno-prepaid,ACTIVE,2549678628,1789084800,310-260,roaming|tethering|volte
310260100000007,350000004120370,dev-pro,ACTIVE,5738640323,1789689600,310-260,roaming|volte
234150100000002,352222221875689,enterprise-fixed,ACTIVE,367806435820,1789948800,234-15,roaming|tethering
310260100000008,350000009434396,dev-basic,ACTIVE,14400626749,1788566400,310-260,roaming
234150100000003,352222227790486,iot-low-power,ACTIVE,448105419,1788134400,234-15,roaming|volte
310260100000009,350000001591185,dev-pro,ACTIVE,75132653092,1790208000,310-260,roaming|tethering
234150100000004,352222225671209,dev-basic,ACTIVE,7432438875,1790380800,234-15,roaming|tethering
310260100000010,350000006825950,dev-pro,ACTIVE,77601698686,1789516800,310-260,roaming
208010100000001,354444449396953,mvno-prepaid,ACTIVE,3516663577,1789862400,208-01,tethering|volte
310260100000011,350000006505552,iot-low-power,ACTIVE,261024431,1789344000,310-260,tethering|volte
310260100000012,350000001054598,dev-basic,ACTIVE,1415328088,1789689600,310-260,tethering
310260100000013,350000000602199,dev-basic,ACTIVE,5554298487,1788307200,310-260,roaming|volte
234150100000005,352222226202913,dev-basic,ACTIVE,7328061182,1790035200,234-15,roaming|tethering
208010100000002,354444443879038,dev-basic,ACTIVE,10203103867,1788739200,208-01,roaming|volte
310260100000014,350000001911565,iot-low-power,ACTIVE,163644787,1789430400,310-260,roaming
310410100000004,351111116905332,iot-low-power,ACTIVE,229712226,1788393600,310-410,roaming|volte
310410100000005,351111112382676,mvno-prepaid,ACTIVE,192349777,1788307200,310-410,roaming
310260100000015,350000007218700,enterprise-fixed,ACTIVE,197704942328,1789171200,310-260,roaming
310260100000016,350000005971185,dev-pro,ACTIVE,305237225087,1788480000,310-260,roaming|volte
310410100000006,351111112428511,iot-low-power,ACTIVE,210476375,1790121600,310-410,roaming|volte
208010100000003,354444444806774,dev-pro,ACTIVE,139968614875,1789862400,208-01,roaming
310260100000017,350000000245809,dev-basic,ACTIVE,14028030566,1788307200,310-260,roaming|volte
310260100000018,350000004787335,mvno-prepaid,ACTIVE,1574065667,1788048000,310-260,roaming|volte
310260100000019,350000005271388,iot-low-power,ACTIVE,226033673,1790380800,310-260,roaming|volte
310260100000020,350000007558063,mvno-prepaid,ACTIVE,2021826811,1787875200,310-260,roaming
310260100000021,350000006433904,dev-pro,ACTIVE,123846202030,1790208000,310-260,roaming|tethering|volte
310260100000022,350000002513964,iot-low-power,ACTIVE,44531193,1789171200,310-260,roaming|volte
